id;street_number;street;zipcode;city_id
1;Afghani explicit Central;Shanahan Forges;withdrawal;42679
2;pixel Customer;Bayer Grove;Handmade;32483
3;knowledge;Eleanore Meadow;Fish;5989
4;lime pixel Organized;Madisen Prairie;Borders;2073
5;Washington markets;Mohammed Skyway;Industrial withdrawal drive;44073
6;quantify;Elisha Track;Streamlined;61876
7;bi-directional;Bridget Ford;Web Coordinator Industrial;59132
8;Illinois Island parse;Beahan Fields;deposit;67076
9;COM;Hammes Path;Sleek Cotton Causeway;33149
10;knowledge;Bobby Pike;override green;70768
