id;distance;journey_duration;actual_departure_time;planned_departure_time;actual_arrival_time;planned_arrival_time;ticket_price;number_of_stops;time_of_stops;minutes_late;journey_status_id;train_id;company_id;departure_railway_station_id;arrival_railway_station_id
1;26069;57504;2023-05-12T19:47:16;2023-05-12T18:58:05;2023-05-12T23:07:28;2023-05-13T03:30:00;35289;30121;36016;99887;111;93237;8926;13396;77174
2;40933;6207;2023-05-12T19:04:18;2023-05-13T00:58:23;2023-05-12T12:25:08;2023-05-12T19:13:14;94614;76880;69781;53024;28837;73127;35554;21272;11347
3;72099;91438;2023-05-13T11:20:37;2023-05-13T02:57:23;2023-05-13T03:04:59;2023-05-13T09:59:07;26978;88923;24471;48906;95044;25985;74135;41275;7590
4;36572;15904;2023-05-12T17:47:21;2023-05-12T16:31:14;2023-05-13T02:59:22;2023-05-13T00:31:35;80152;99213;15693;17715;10478;8220;28008;37720;32188
5;25024;98043;2023-05-13T01:37:36;2023-05-13T01:57:16;2023-05-12T22:24:51;2023-05-13T08:36:52;39569;56753;84936;70173;6551;47624;93734;69317;1627
6;24333;91665;2023-05-12T19:13:59;2023-05-12T14:14:54;2023-05-13T09:27:39;2023-05-13T06:40:24;23160;94856;57210;96640;57663;94040;61105;55871;65793
7;26618;62611;2023-05-13T04:55:40;2023-05-12T17:34:55;2023-05-12T18:47:54;2023-05-12T22:58:04;82647;98462;37794;38603;43475;4867;43311;55531;60799
8;63066;65487;2023-05-12T15:05:49;2023-05-12T22:49:09;2023-05-13T09:22:41;2023-05-13T05:37:49;44302;24598;6356;86908;562;52603;52731;80023;40459
9;64946;74701;2023-05-13T10:39:37;2023-05-13T06:10:25;2023-05-13T07:40:52;2023-05-12T16:32:19;73403;73626;22627;20211;44817;61455;64646;81977;98065
10;16116;50069;2023-05-12T13:22:41;2023-05-13T05:22:48;2023-05-12T21:03:19;2023-05-13T05:32:54;15049;39676;34241;92607;89975;45475;30240;58108;44985
