id;final_price;quantity;jhi_time;app_user_id;journey_id
1;91696;65755;2023-05-12T21:19:23;60645;99558
2;10573;68049;2023-05-12T20:24:52;8664;68571
3;10825;43578;2023-05-12T18:20:30;98044;6961
4;53509;84965;2023-05-13T01:23:54;30510;39835
5;47907;83732;2023-05-13T10:14:35;12381;47861
6;33516;8843;2023-05-13T09:00:23;33415;44790
7;23855;74510;2023-05-13T07:41:27;85422;48566
8;52183;71158;2023-05-12T19:29:35;84562;99459
9;79417;87188;2023-05-13T08:21:33;85301;86616
10;67512;95563;2023-05-12T22:48:25;76179;25130
